System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052494753;Fixation begin;5684;2102
1587052494753;Fixation begin;5656;2110
1587052494753;Fixation data;5654;2106
1587052494753;Fixation begin;5671;2104
1587052494753;Fixation data;5670;2104
1587052494753;Fixation begin;5664;2113
1587052494753;Fixation data;5663;2110
1587052494753;Fixation data;5666;2105
1587052494753;Fixation data;5666;2097
1587052494768;Fixation begin;5659;2087
1587052494787;Fixation data;5658;2087
1587052494793;Fixation data;5656;2091
1587052494804;Fixation begin;5648;2097
1587052494810;Fixation data;5646;2098
1587052494827;Fixation data;5644;2099
1587052494843;Fixation data;5648;2102
1587052494858;Fixation data;5648;2106
1587052494861;Fixation begin;5641;2113
1587052494892;Fixation data;5644;2114
1587052494908;Fixation begin;5658;2106
1587052494923;Fixation data;5660;2104
1587052494939;Fixation data;5662;2099
1587052494957;Fixation begin;5630;2084
1587052494958;Fixation data;5625;2084
1587052494971;Fixation data;5628;2083
1587052494979;Fixation begin;5632;2080
1587052494995;Fixation data;5629;2082
1587052495011;Fixation data;5624;2086
1587052495026;Fixation begin;5623;2098
1587052495042;Fixation begin;5628;2094
1587052495058;Fixation data;5628;2094
1587052495069;Fixation begin;5642;2097
1587052495080;Fixation data;5641;2094
1587052495091;Fixation data;5638;2093
1587052495102;Fixation data;5634;2095
1587052495118;Fixation data;5637;2097
1587052495134;Fixation data;5652;2094
1587052495151;Fixation begin;5691;2078
1587052495158;Fixation begin;5696;2090
1587052495170;Fixation begin;5676;2099
1587052495180;Fixation data;5670;2096
1587052495191;Fixation data;5664;2089
1587052495197;Fixation data;5653;2084
1587052495213;Fixation data;5644;2082
1587052495229;Fixation begin;5607;2090
1587052495245;Fixation data;5610;2092
1587052495260;Fixation data;5621;2093
1587052495275;Fixation begin;5744;2097
1587052495291;Fixation end;;
1587052495307;Fixation begin;5584;2102
1587052495323;Fixation data;5593;2105
1587052495324;Fixation end;;
1587052495336;Fixation begin;5655;2109
1587052495362;Fixation begin;5661;2099
1587052495378;Fixation data;5662;2097
1587052495395;Fixation data;5668;2096
1587052495395;Fixation begin;5631;2092
1587052495427;Fixation data;5628;2088
1587052495443;Fixation begin;5656;2081
1587052495458;Fixation data;5655;2084
1587052495473;Fixation begin;5624;2094
1587052495505;Fixation begin;5620;2087
1587052495520;Fixation begin;5619;2088
1587052495536;Fixation data;5620;2088
1587052495553;Fixation begin;5601;2088
1587052495558;Fixation begin;5591;2108
1587052495569;Fixation data;5588;2108
1587052495580;Fixation data;5584;2105
1587052495591;Fixation data;5595;2102
1587052495602;Fixation data;5612;2102
1587052495618;Fixation data;5623;2102
1587052495634;Fixation data;5607;2103
1587052495650;Fixation begin;5576;2109
1587052495665;Fixation begin;5594;2109
1587052495681;Fixation data;5594;2110
1587052495708;Fixation begin;5602;2110
1587052495724;Fixation begin;5606;2110
1587052495740;Fixation begin;5589;2118
1587052495758;Fixation data;5589;2115
1587052495760;Fixation end;;
1587052495771;Fixation begin;5590;2088
1587052495781;Fixation data;5586;2089
1587052495781;Fixation data;5580;2088
1587052495796;Fixation data;5576;2083
1587052495831;Fixation data;5578;2079
1587052495836;Fixation begin;5597;2087
1587052495845;Fixation data;5612;2089
1587052495845;Fixation end;;
1587052495892;Fixation begin;5587;2114
1587052495908;Fixation begin;5599;2116
1587052495924;Fixation data;5608;2118
1587052495939;Fixation begin;5612;2111
1587052495956;Fixation data;5609;2110
1587052495956;Fixation end;;
1587052495969;Fixation begin;5598;2126
1587052495980;Fixation data;5590;2121
1587052495996;Fixation data;5576;2110
1587052496012;Fixation data;5565;2103
1587052496027;Fixation data;5557;2099
