System time;Event;X Gaze Data; Y Gaze Data 
1587052494749;Gaze;5666;2094
1587052494750;Gaze;5666;2094
1587052494751;Gaze;5668;2097
1587052494753;Gaze;5666;2094
1587052494753;Gaze;5663;2096
1587052494753;Gaze;5661;2099
1587052494753;Gaze;5664;2101
1587052494753;Gaze;5664;2104
1587052494753;Gaze;5664;2106
1587052494753;Gaze;5662;2106
1587052494753;Gaze;5662;2106
1587052494753;Gaze;5663;2106
1587052494768;Gaze;5662;2099
1587052494786;Gaze;5660;2096
1587052494792;Gaze;5659;2093
1587052494803;Gaze;5658;2094
1587052494810;Gaze;5650;2097
1587052494827;Gaze;5649;2095
1587052494843;Gaze;5647;2097
1587052494858;Gaze;5647;2098
1587052494861;Gaze;5645;2106
1587052494892;Gaze;5644;2108
1587052494908;Gaze;5644;2108
1587052494923;Gaze;5656;2105
1587052494939;Gaze;5657;2104
1587052494956;Gaze;5648;2097
1587052494957;Gaze;5635;2090
1587052494970;Gaze;5632;2088
1587052494979;Gaze;5633;2085
1587052494995;Gaze;5631;2085
1587052495011;Gaze;5626;2089
1587052495026;Gaze;5622;2088
1587052495042;Gaze;5625;2091
1587052495058;Gaze;5625;2092
1587052495059;Gaze;5625;2092
1587052495069;Gaze;5632;2092
1587052495080;Gaze;5635;2093
1587052495091;Gaze;5635;2093
1587052495102;Gaze;5636;2093
1587052495118;Gaze;5635;2094
1587052495134;Gaze;5637;2093
1587052495150;Gaze;5638;2092
1587052495157;Gaze;5647;2091
1587052495169;Gaze;5657;2093
1587052495180;Gaze;5658;2093
1587052495191;Gaze;5665;2089
1587052495197;Gaze;5666;2086
1587052495213;Gaze;5662;2085
1587052495229;Gaze;5661;2084
1587052495245;Gaze;5653;2085
1587052495260;Gaze;5646;2087
1587052495275;Gaze;5659;2088
1587052495291;Gaze;5640;2091
1587052495307;Gaze;5605;2099
1587052495323;Gaze;5608;2099
1587052495324;Gaze;5617;2101
1587052495335;Gaze;5642;2107
1587052495347;Gaze;5645;2109
1587052495362;Gaze;5628;2104
1587052495378;Gaze;5629;2103
1587052495394;Gaze;5662;2098
1587052495395;Gaze;5658;2097
1587052495427;Gaze;5645;2091
1587052495443;Gaze;5649;2087
1587052495458;Gaze;5652;2088
1587052495473;Gaze;5647;2089
1587052495489;Gaze;5637;2087
1587052495505;Gaze;5627;2088
1587052495520;Gaze;5622;2087
1587052495536;Gaze;5620;2088
1587052495552;Gaze;5621;2087
1587052495557;Gaze;5618;2089
1587052495558;Gaze;5616;2090
1587052495569;Gaze;5614;2091
1587052495579;Gaze;5612;2092
1587052495591;Gaze;5596;2099
1587052495602;Gaze;5595;2102
1587052495618;Gaze;5616;2102
1587052495634;Gaze;5606;2103
1587052495650;Gaze;5597;2105
1587052495665;Gaze;5591;2111
1587052495681;Gaze;5592;2111
1587052495708;Gaze;5597;2111
1587052495724;Gaze;5601;2111
1587052495740;Gaze;5595;2112
1587052495757;Gaze;5595;2112
1587052495759;Gaze;5596;2111
1587052495770;Gaze;5594;2098
1587052495781;Gaze;5593;2098
1587052495781;Gaze;5591;2094
1587052495796;Gaze;5586;2090
1587052495829;Gaze;5580;2086
1587052495835;Gaze;5578;2083
1587052495845;Gaze;5599;2087
1587052495845;Gaze;5600;2087
1587052495861;Gaze;5601;2087
1587052495877;Gaze;5602;2090
1587052495892;Gaze;5603;2091
1587052495908;Gaze;5609;2103
1587052495924;Gaze;5608;2105
1587052495939;Gaze;5610;2110
1587052495955;Gaze;5606;2112
1587052495956;Gaze;5606;2112
1587052495968;Gaze;5605;2114
1587052495979;Gaze;5604;2114
1587052495996;Gaze;5601;2114
1587052496012;Gaze;5568;2103
1587052496027;Gaze;5565;2101
1587052496043;Gaze;5563;2101
1587052496059;Gaze;5525;2084
1587052496068;Gaze;5520;2086
1587052496079;Gaze;5520;2086
1587052496082;Gaze;5521;2089
1587052496113;Gaze;5526;2092
1587052496129;Gaze;5534;2097
1587052496144;Gaze;5534;2097
1587052496160;Gaze;5535;2097
1587052496168;Gaze;5538;2096
1587052496179;Gaze;5536;2096
1587052496190;Gaze;5536;2094
1587052496201;Gaze;5539;2093
1587052496210;Gaze;5550;2096
1587052496226;Gaze;5555;2097
1587052496242;Gaze;5559;2095
1587052496257;Gaze;5573;2090
1587052496273;Gaze;5578;2090
1587052496288;Gaze;5579;2086
1587052496304;Gaze;5577;2086
1587052496320;Gaze;5572;2082
1587052496320;Gaze;5571;2082
1587052496336;Gaze;5571;2082
1587052496346;Gaze;5542;2089
1587052496363;Gaze;5534;2091
1587052496378;Gaze;5525;2094
1587052496394;Gaze;5525;2094
1587052496410;Gaze;5532;2095
1587052496425;Gaze;5527;2096
1587052496441;Gaze;5546;2090
1587052496456;Gaze;5555;2088
1587052496472;Gaze;5566;2084
1587052496487;Gaze;5569;2069
1587052496503;Gaze;5626;2075
1587052496519;Gaze;6545;2019
1587052496534;Gaze;6789;2003
1587052496550;Gaze;7076;2032
1587052496555;Gaze;7104;2027
1587052496567;Gaze;7098;2023
1587052496579;Gaze;7078;2014
1587052496589;Gaze;7061;1996
1587052496600;Gaze;7071;2001
1587052496611;Gaze;7071;2002
1587052496622;Gaze;7075;2003
1587052496634;Gaze;7058;2003
1587052496645;Gaze;7054;2003
1587052496656;Gaze;7065;2013
1587052496667;Gaze;7066;2012
1587052496678;Gaze;7072;2012
1587052496689;Gaze;7072;2012
1587052496700;Gaze;7072;2008
1587052496712;Gaze;7111;2032
1587052496722;Gaze;7116;2036
1587052496734;Gaze;7130;2046
1587052496745;Gaze;7143;2052
1587052496756;Gaze;7177;2072
1587052496767;Gaze;7142;2058
1587052496779;Gaze;7123;2054
1587052496789;Gaze;7126;2054
1587052496801;Gaze;7162;2063
1587052496812;Gaze;7167;2062
1587052496823;Gaze;7170;2070
1587052496834;Gaze;7173;2079
1587052496845;Gaze;7175;2082
1587052496856;Gaze;7190;2067
1587052496867;Gaze;7209;2063
1587052496878;Gaze;7223;2065
1587052496888;Gaze;7229;2075
1587052496900;Gaze;7231;2088
1587052496911;Gaze;7232;2091
1587052496922;Gaze;7220;2089
1587052496933;Gaze;7186;2073
1587052496945;Gaze;7141;2047
1587052496955;Gaze;7125;2042
1587052496967;Gaze;7105;2039
1587052496978;Gaze;7102;2040
1587052496989;Gaze;7103;2040
1587052497000;Gaze;7118;2051
1587052497011;Gaze;7117;2050
1587052497022;Gaze;7120;2050
1587052497033;Gaze;7144;2060
1587052497044;Gaze;7165;2071
1587052497055;Gaze;7172;2088
1587052497067;Gaze;7200;2132
1587052497078;Gaze;7213;2139
1587052497089;Gaze;7222;2105
1587052497100;Gaze;7222;2102
1587052497112;Gaze;7198;2088
